,0
Ranking,0.480843026875539
Number of Reviews,0.1419133816321431
Number_of_Reviews_isNAN,0.0
Cuisine_Style_isNAN,0.001050441186174369
Reviews_isNAN,0.0
Price_Range_isNAN,0.0011652676460513296
City_Amsterdam,0.000595233593722794
City_Athens,0.00013397470176895385
City_Barcelona,0.0015526889385772359
City_Berlin,0.0010142054776660916
City_Bratislava,0.00040750896715025745
City_Brussels,0.00023130791222317562
City_Budapest,0.0005608353254479782
City_Copenhagen,0.00026729335118935455
City_Dublin,9.714662978760376e-05
City_Edinburgh,0.0004796255144841426
City_Geneva,0.00024356372611772907
City_Hamburg,0.00020140054856465688
City_Helsinki,3.521530477130258e-05
City_Krakow,7.732731444963811e-05
City_Lisbon,0.0002097549501334502
City_Ljubljana,0.00013679391909218128
City_London,0.0021674938852527426
City_Luxembourg,6.792136575145094e-05
City_Lyon,0.00021240363130449686
City_Madrid,0.0007200502763484827
City_Milan,0.00229802791664241
City_Munich,0.00013477977533676088
City_Oporto,0.00010047789172514756
City_Oslo,8.361552460279483e-05
City_Paris,0.003176045186054295
City_Prague,0.0003483933127114125
City_Rome,0.00042149000452368444
City_Stockholm,0.0010503139853647809
City_Vienna,0.0004886811698592681
City_Warsaw,0.00024121692588099304
City_Zurich,6.811783983246095e-05
City_nan,0.0
Price Range label,0.0030056188027714616
style_nan,0.0010429601478779541
style_afghani,1.2592733202943239e-05
style_african,0.0003743919888281325
style_albanian,6.004328911057499e-06
style_american,0.0006061379793762672
style_arabic,3.238430317790141e-05
style_argentinean,3.647337432154806e-05
style_armenian,6.700169227710565e-05
style_asian,0.000757332643325554
style_australian,7.647406089332552e-06
style_austrian,0.000310915248538862
style_azerbaijani,5.466605487350565e-07
style_balti,9.950913242996147e-05
style_bangladeshi,3.0032278719666348e-05
style_bar,0.00057655242454126
style_barbecue,0.00018134561766475443
style_belgian,8.61211862005274e-05
style_brazilian,8.886439663779713e-05
style_brew_pub,0.00015698232120731306
style_british,0.0002458534905874385
style_burmese,0.0
style_cafe,0.0009371651197166602
style_cajun_&_creole,2.8393655134096763e-05
style_cambodian,1.5846529545631195e-05
style_canadian,1.003175217126342e-06
style_caribbean,2.680630534803896e-05
style_caucasian,2.880107467609989e-07
style_central_american,1.6178815602194573e-05
style_central_asian,5.660825019869343e-06
style_central_european,0.00020808045148749775
style_chilean,4.081799222853367e-05
style_chinese,0.0006149009097608386
style_colombian,1.494532274734983e-05
style_contemporary,0.00024612141529708846
style_croatian,8.258777137199862e-06
style_cuban,1.2958371283704943e-05
style_czech,0.0001922887682624129
style_danish,0.00014988540242942279
style_delicatessen,0.0005509938450374844
style_diner,0.0004349309667311943
style_dutch,0.00011741421050810827
style_eastern_european,8.401498998582358e-05
style_ecuadorean,1.0932252453927137e-06
style_egyptian,6.590738494572651e-06
style_ethiopian,6.625949876781759e-05
style_european,0.001243408235368352
style_fast_food,0.0006208952160892073
style_filipino,3.204672314250403e-06
style_french,0.0009805602317387468
style_fujian,3.576909762168192e-07
style_fusion,0.0007525886084237509
style_gastropub,0.0004084738576464797
style_georgian,1.605934545059071e-05
style_german,0.00025991216253310584
style_gluten_free_options,0.0004246036434628805
style_greek,0.00022027258134172837
style_grill,0.0015145388629273651
style_halal,0.00025347863868429096
style_hawaiian,1.8923254693696763e-06
style_healthy,0.000884503958921516
style_hungarian,0.00010410518761176852
style_indian,0.0007553150530598869
style_indonesian,6.101937975355413e-05
style_international,0.0008381712817788026
style_irish,5.804267433096631e-05
style_israeli,1.3595685265959597e-05
style_italian,0.001251961024542507
style_jamaican,4.498188043671786e-06
style_japanese,0.0005348441009472058
style_korean,2.769631958258833e-05
style_kosher,1.84968588003163e-05
style_latin,0.0001493897247704589
style_latvian,0.0
style_lebanese,8.342997477905124e-05
