,0
Ranking,0.48403504634477496
Number of Reviews,0.14403039837415
Number_of_Reviews_isNAN,0.0
Cuisine_Style_isNAN,0.0011283971268003532
Reviews_isNAN,0.0
Price_Range_isNAN,0.0012187725545467407
City_Amsterdam,0.0008626061720031188
City_Athens,0.0001281169039642177
City_Barcelona,0.0016580282957105671
City_Berlin,0.000950516092774391
City_Bratislava,0.0005761465187002406
City_Brussels,0.0002556797867700698
City_Budapest,0.000564253811686077
City_Copenhagen,0.0003410908611071476
City_Dublin,0.00011017806641712332
City_Edinburgh,0.0004326717908661331
City_Geneva,0.0002651272110529496
City_Hamburg,0.0002079993889644639
City_Helsinki,2.9309443983544174e-05
City_Krakow,0.0001249694144332376
City_Lisbon,0.00023763251087512637
City_Ljubljana,0.00012166579793410161
City_London,0.0026630770704377396
City_Luxembourg,5.409226874513536e-05
City_Lyon,0.00023864279582395874
City_Madrid,0.0009675554579999296
City_Milan,0.0020179384229954598
City_Munich,0.0001497872990605212
City_Oporto,0.00011525525371262055
City_Oslo,4.940130010096592e-05
City_Paris,0.0021589298250167203
City_Prague,0.0004970807214324813
City_Rome,0.0004574387334540468
City_Stockholm,0.001076637017724381
City_Vienna,0.0005578028320181843
City_Warsaw,0.00037316627047498624
City_Zurich,7.986242251210548e-05
City_nan,0.0
Price Range label,0.0034553636958868632
style_nan,0.0011117143961603356
style_afghani,1.6300132938555912e-05
style_african,0.00041075327973866824
style_albanian,7.824465912883373e-06
style_american,0.0006998723460728027
style_arabic,3.209642760718125e-05
style_argentinean,4.6454071024721836e-05
style_armenian,5.047273858017496e-05
style_asian,0.000987885176630639
style_australian,1.1229050244907312e-05
style_austrian,0.00035304248272128544
style_azerbaijani,0.0
style_balti,0.00010348512090343367
style_bangladeshi,2.495384549180409e-05
style_bar,0.0006962748461667182
style_barbecue,0.00022870683879196396
style_belgian,0.00010682506123208447
style_brazilian,0.00010250314891780295
style_brew_pub,0.00016112243711541944
style_british,0.0003198102606837361
style_burmese,0.0
style_cafe,0.001122053024505534
style_cajun_&_creole,3.52525425961806e-05
style_cambodian,2.0427978154612097e-05
style_canadian,1.5989317680263034e-06
style_caribbean,3.005350151589018e-05
style_caucasian,0.0
style_central_american,2.33657917356612e-05
style_central_asian,1.0565467160361416e-05
style_central_european,0.00023900071718325645
style_chilean,2.6420768663433218e-05
style_chinese,0.0007406326155852936
style_colombian,2.6396666706228402e-05
style_contemporary,0.0003251739399224205
style_croatian,1.1317026107123985e-05
style_cuban,2.5860863154883732e-05
style_czech,0.0002193063961361017
style_danish,0.0001729018653255855
style_delicatessen,0.0005585970442768302
style_diner,0.0004551815151993562
style_dutch,0.0001088651596765169
style_eastern_european,0.00013207085978441085
style_ecuadorean,2.5991916212537224e-06
style_egyptian,5.263011784983373e-06
style_ethiopian,8.138175692843189e-05
style_european,0.0014591304332101408
style_fast_food,0.0007474129549313355
style_filipino,4.771844777595484e-06
style_french,0.0011511612973282633
style_fujian,2.163962496150729e-06
style_fusion,0.0008914279953350909
style_gastropub,0.00043750073883416123
style_georgian,2.1191273748792346e-05
style_german,0.00030794265546917537
style_gluten_free_options,0.0005039686016694962
style_greek,0.00026802642095929193
style_grill,0.0015979596841053034
style_halal,0.0003382413164225294
style_hawaiian,3.4449913965817598e-06
style_healthy,0.0009329005880274551
style_hungarian,0.00010763263824078801
style_indian,0.0008989282379528775
style_indonesian,6.931374950655733e-05
style_international,0.000988965220846331
style_irish,7.0129070987524e-05
style_israeli,2.8125365413256822e-05
style_italian,0.0015846393372487457
style_jamaican,7.074409781152211e-06
style_japanese,0.0006263420455652073
style_korean,4.4479281587050144e-05
style_kosher,2.770057295153788e-05
style_latin,0.00016087649580054345
style_latvian,0.0
style_lebanese,0.00010960795182313804
style_malaysian,1.0959186056762419e-05
style_mediterranean,0.0015642595734806375
style_mexican,0.0006311312321550309
style_middle_eastern,0.0006782809734546406
style_minority_chinese,6.296694087122883e-06
style_mongolian,1.0211103986731966e-05
style_moroccan,7.659843639873788e-05
style_native_american,2.892630278363455e-07
style_nepali,3.3392726328625386e-05
style_new_zealand,0.0
style_norwegian,1.8806249692369227e-05
style_pakistani,7.264683657869957e-05
style_persian,7.718486281404624e-05
style_peruvian,6.998790842964041e-05
style_pizza,0.0012023005140968533
style_polish,0.00011047234900300271
style_polynesian,1.4895660366760322e-06
style_portuguese,0.0003568353569020226
style_pub,0.00072020278774368
style_romanian,5.45337363311332e-06
style_russian,5.0906576522625934e-05
style_salvadoran,9.419681167567149e-07
style_scandinavian,0.00012245561059678602
style_scottish,5.800897877589726e-05
style_seafood,0.0006586782598294671
style_singaporean,9.743534408767914e-06
style_slovenian,1.8018923443303276e-05
style_soups,0.0002738238845636492
style_south_american,0.00020349251767507717
style_southwestern,7.82954592950159e-06
style_spanish,0.0011195581548565563
style_sri_lankan,1.7046029136006022e-05
style_steakhouse,0.00027740849948414213
style_street_food,0.0002714523783964648
style_sushi,0.0006328232988362455
style_swedish,5.166894708131754e-05
style_swiss,0.0002221023525319779
style_taiwanese,7.829792668921936e-05
style_thai,0.00029500902315042564
style_tibetan,1.914637705991545e-05
style_tunisian,0.00011503939086415545
style_turkish,0.0005521680402185885
style_ukrainian,1.2922127822022927e-05
style_uzbek,5.16523100891662e-07
style_vegan_options,0.0007494555580460844
style_vegetarian_friendly,0.0009276978781473047
style_venezuelan,3.7021594194274286e-05
style_vietnamese,0.00027584118222088506
style_welsh,5.455109936982203e-06
style_wine_bar,0.0006222300807795712
style_xinjiang,0.0
style_yunnan,0.0
restorans_in_city,0.0739594728021624
review_1_year,0.005342830415336323
review_2_year,0.0035244922997061928
review_delta,0.01327451584949649
ranking_in_city,0.05832879491545791
price_in_city,0.08166093901919644
reviews_in_city,0.011222204650506384
review_text_1_vec_000 degrees,0.0
review_text_1_vec_02 00,0.0
review_text_1_vec_05 aug,0.0
review_text_1_vec_10 000,0.0
review_text_1_vec_10 10,0.0
review_text_1_vec_10 17,0.0
review_text_1_vec_10 40,0.0
review_text_1_vec_10 80,0.0
review_text_1_vec_10 different,0.0
review_text_1_vec_10 euros,3.4057721680188435e-07
review_text_1_vec_10 gorgious,0.0
review_text_1_vec_10 indian,0.0
review_text_1_vec_10 minutes,0.0
review_text_1_vec_10 place,0.0
review_text_1_vec_10 pm,0.0
review_text_1_vec_10 review,5.500450057643227e-07
review_text_1_vec_10 stars,1.0224247773411276e-06
review_text_1_vec_10 steak,0.0
review_text_1_vec_10 whats,0.0
review_text_1_vec_10 yeas,0.0
review_text_1_vec_100 italian,1.607888121886874e-07
review_text_1_vec_100 moroccon,0.0
review_text_1_vec_100 percent,0.0
review_text_1_vec_100 polish,0.0
